Model Spend_Optim

  Variables:
    edlp : Size=312, Index=edlp_index
        Key     : Lower : Value              : Upper : Fixed : Stale : Domain
        (4, 31) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 32) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 33) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 34) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 35) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 36) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 37) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 38) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 39) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 40) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 41) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 42) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 43) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 44) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 45) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 46) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 47) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 48) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 49) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 50) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (4, 51) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (5, 0) :  0.95 : 0.9897404601937639 :     1 : False : False : NonNegativeReals
         (5, 1) :  0.95 :  0.989868667106715 :     1 : False : False : NonNegativeReals
         (5, 2) :  0.95 : 0.9901471567789492 :     1 : False : False : NonNegativeReals
         (5, 3) :  0.95 : 0.9898300556042345 :     1 : False : False : NonNegativeReals
         (5, 4) :  0.95 : 0.9901289828014312 :     1 : False : False : NonNegativeReals
         (5, 5) :  0.95 : 0.9900755324214534 :     1 : False : False : NonNegativeReals
         (5, 6) :  0.95 : 0.9901197101651213 :     1 : False : False : NonNegativeReals
         (5, 7) :  0.95 : 0.9900608485310868 :     1 : False : False : NonNegativeReals
         (5, 8) :  0.95 :   0.99027727765637 :     1 : False : False : NonNegativeReals
         (5, 9) :  0.95 : 0.9902397793559693 :     1 : False : False : NonNegativeReals
        (5, 10) :  0.95 : 0.9900359171802074 :     1 : False : False : NonNegativeReals
        (5, 11) :  0.95 : 0.9900296152456743 :     1 : False : False : NonNegativeReals
        (5, 12) :  0.95 : 0.9899720821444207 :     1 : False : False : NonNegativeReals
        (5, 13) :  0.95 : 0.9900452946012156 :     1 : False : False : NonNegativeReals
        (5, 14) :  0.95 : 0.9896988218383236 :     1 : False : False : NonNegativeReals
        (5, 15) :  0.95 : 0.9898919349380735 :     1 : False : False : NonNegativeReals
        (5, 16) :  0.95 : 0.9893631553225172 :     1 : False : False : NonNegativeReals
        (5, 17) :  0.95 : 0.9896678703500935 :     1 : False : False : NonNegativeReals
        (5, 18) :  0.95 : 0.9895365740869396 :     1 : False : False : NonNegativeReals
        (5, 19) :  0.95 : 0.9893577590085152 :     1 : False : False : NonNegativeReals
        (5, 20) :  0.95 : 0.9894028410834128 :     1 : False : False : NonNegativeReals
        (5, 21) :  0.95 : 0.9891549084216602 :     1 : False : False : NonNegativeReals
        (5, 22) :  0.95 :  0.989347186605015 :     1 : False : False : NonNegativeReals
        (5, 23) :  0.95 : 0.9892628994078242 :     1 : False : False : NonNegativeReals
        (5, 24) :  0.95 : 0.9892813555051378 :     1 : False : False : NonNegativeReals
        (5, 25) :  0.95 :   0.98927189076685 :     1 : False : False : NonNegativeReals
        (5, 26) :  0.95 : 0.9893725815515013 :     1 : False : False : NonNegativeReals
        (5, 27) :  0.95 :  0.989028512849225 :     1 : False : False : NonNegativeReals
        (5, 28) :  0.95 : 0.9890680219388069 :     1 : False : False : NonNegativeReals
        (5, 29) :  0.95 : 0.9890446518198676 :     1 : False : False : NonNegativeReals
        (5, 30) :  0.95 :  0.989122415945448 :     1 : False : False : NonNegativeReals
        (5, 31) :  0.95 : 0.9890044030614316 :     1 : False : False : NonNegativeReals
        (5, 32) :  0.95 : 0.9890179863868261 :     1 : False : False : NonNegativeReals
        (5, 33) :  0.95 : 0.9890035828986825 :     1 : False : False : NonNegativeReals
        (5, 34) :  0.95 : 0.9891183759747812 :     1 : False : False : NonNegativeReals
        (5, 35) :  0.95 : 0.9890402236335385 :     1 : False : False : NonNegativeReals
        (5, 36) :  0.95 : 0.9888175833727506 :     1 : False : False : NonNegativeReals
        (5, 37) :  0.95 :  0.988862147336295 :     1 : False : False : NonNegativeReals
        (5, 38) :  0.95 : 0.9888637539977954 :     1 : False : False : NonNegativeReals
        (5, 39) :  0.95 : 0.9890987748749279 :     1 : False : False : NonNegativeReals
        (5, 40) :  0.95 : 0.9890371217139118 :     1 : False : False : NonNegativeReals
        (5, 41) :  0.95 : 0.9890278993615446 :     1 : False : False : NonNegativeReals
        (5, 42) :  0.95 : 0.9889986196836017 :     1 : False : False : NonNegativeReals
        (5, 43) :  0.95 : 0.9890970901477191 :     1 : False : False : NonNegativeReals
        (5, 44) :  0.95 : 0.9891237395814978 :     1 : False : False : NonNegativeReals
        (5, 45) :  0.95 : 0.9890317231550586 :     1 : False : False : NonNegativeReals
        (5, 46) :  0.95 : 0.9891285232226462 :     1 : False : False : NonNegativeReals
        (5, 47) :  0.95 : 0.9890355397889916 :     1 : False : False : NonNegativeReals
        (5, 48) :  0.95 : 0.9890286167951455 :     1 : False : False : NonNegativeReals
        (5, 49) :  0.95 : 0.9892477600780479 :     1 : False : False : NonNegativeReals
        (5, 50) :  0.95 : 0.9903109820711206 :     1 : False : False : NonNegativeReals
        (5, 51) :  0.95 :  0.989641640254895 :     1 : False : False : NonNegativeReals
    tpr : Size=312, Index=tpr_index
        Key     : Lower : Value               : Upper : Fixed : Stale : Domain
         (0, 0) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 1) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 2) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 3) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 4) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 5) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 6) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 7) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 8) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
         (0, 9) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 10) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 11) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
